,QnA,topic,customer_question,agent_reply,choice,completion,prompt_original,prompt
0,"How are auto insurance premiums calculated?
Auto insurance premiums are calculated based on a variety of factors, including the make and model of your car, your driving record, and the amount of coverage you choose.",auto insurance premium,How are auto insurance premiums calculated?,"Auto insurance premiums are calculated based on a variety of factors, including the make and model of your car, your driving record, and the amount of coverage you choose.",1, 1 END,How are auto insurance premiums calculated?,"Insurer's question:
How are auto insurance premiums calculated?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
1,"How can I save money on my auto insurance premiums?
There are a number of ways to save money on your auto insurance premiums, including raising your deductible, choosing a higher coverage limit, and bundling your auto insurance with other policies.",auto insurance premium,How can I save money on my auto insurance premiums?,"There are a number of ways to save money on your auto insurance premiums, including raising your deductible, choosing a higher coverage limit, and bundling your auto insurance with other policies.",1, 1 END,How can I save money on my auto insurance premiums?,"Insurer's question:
How can I save money on my auto insurance premiums?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
2,"How do I know if I need to purchase auto insurance?
If you drive a car in the United States, you are required by law to have auto insurance.",auto insurance premium,How do I know if I need to purchase auto insurance?,"If you drive a car in the United States, you are required by law to have auto insurance.",1, 1 END,How do I know if I need to purchase auto insurance?,"Insurer's question:
How do I know if I need to purchase auto insurance?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
3,"What factors affect my auto insurance premiums?
The make and model of your car, your driving record, and the amount of coverage you choose all affect your auto insurance premiums.",auto insurance premium,What factors affect my auto insurance premiums?,"The make and model of your car, your driving record, and the amount of coverage you choose all affect your auto insurance premiums.",1, 1 END,What factors affect my auto insurance premiums?,"Insurer's question:
What factors affect my auto insurance premiums?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
4,"What is the minimum amount of auto insurance coverage I am required to have?
The minimum amount of auto insurance coverage you are required to have varies by state, but is typically between $25,000 and $50,000 per person and $50,000 and $100,000 per accident.",auto insurance premium,What is the minimum amount of auto insurance coverage I am required to have?,"The minimum amount of auto insurance coverage you are required to have varies by state, but is typically between $25,000 and $50,000 per person and $50,000 and $100,000 per accident.",1, 1 END,What is the minimum amount of auto insurance coverage I am required to have?,"Insurer's question:
What is the minimum amount of auto insurance coverage I am required to have?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
5,"What is the difference between liability coverage and comprehensive coverage?
Liability coverage pays for damages that you are liable for in an accident, while comprehensive coverage pays for damages to your car that are not caused by an accident, such as weather-related damages or theft.",auto insurance premium,What is the difference between liability coverage and comprehensive coverage?,"Liability coverage pays for damages that you are liable for in an accident, while comprehensive coverage pays for damages to your car that are not caused by an accident, such as weather-related damages or theft.",1, 1 END,What is the difference between liability coverage and comprehensive coverage?,"Insurer's question:
What is the difference between liability coverage and comprehensive coverage?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
6,"What is the deductible on my auto insurance policy?
The deductible is the amount of money you are responsible for paying out of pocket before your insurance policy kicks in.",auto insurance premium,What is the deductible on my auto insurance policy?,The deductible is the amount of money you are responsible for paying out of pocket before your insurance policy kicks in.,1, 1 END,What is the deductible on my auto insurance policy?,"Insurer's question:
What is the deductible on my auto insurance policy?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
7,"What happens if I am involved in an accident and do not have enough auto insurance coverage?
If you are involved in an accident and do not have enough auto insurance coverage, you will be personally responsible for paying for any damages that exceed your policy limit.",auto insurance premium,What happens if I am involved in an accident and do not have enough auto insurance coverage?,"If you are involved in an accident and do not have enough auto insurance coverage, you will be personally responsible for paying for any damages that exceed your policy limit.",1, 1 END,What happens if I am involved in an accident and do not have enough auto insurance coverage?,"Insurer's question:
What happens if I am involved in an accident and do not have enough auto insurance coverage?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
8,"Can I choose my own auto insurance company?
You can choose your own auto insurance company, but be sure to compare rates between different providers to find the best deal.",auto insurance premium,Can I choose my own auto insurance company?,"You can choose your own auto insurance company, but be sure to compare rates between different providers to find the best deal.",1, 1 END,Can I choose my own auto insurance company?,"Insurer's question:
Can I choose my own auto insurance company?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
9,"What is the best way to save money on auto insurance premiums?
The best way to save money on auto insurance premiums is to choose a higher coverage limit, raise your deductible, and bundle your auto insurance with other policies.",auto insurance premium,What is the best way to save money on auto insurance premiums?,"The best way to save money on auto insurance premiums is to choose a higher coverage limit, raise your deductible, and bundle your auto insurance with other policies.",1, 1 END,What is the best way to save money on auto insurance premiums?,"Insurer's question:
What is the best way to save money on auto insurance premiums?


Based on the customer question above, choose one choice below that best describe the question content. Classify between category 1 to 6.
Make choices based on provided facts, don't imply nor make up stuff.

Detailed Guidelines for how to choose:
    choose 1 if the question is about auto insurance premium.
    choose 2 if the question is about home flood insurance.
    choose 3 if the question is irrelevant of insurance.
    choose 4 if the question is chit chat.
    choose 5 if the question is about ending conversation.
    choose 6 if the question is just a continuation of previous question.
Choose one correct number: 
"
